//Date,Time,ms,CellID Number,LotID,CellID_1,CellID_2
20221026,170437,189,1,lotid_1234,CellID_1_0
20221026,170451,439,1,lotid_1234,CellID_1_0
20221026,170500,267,1,lotid_1234,CellID_1_0
20221026,170501,655,1,lotid_1234,CellID_1_0
20221026,171921,198,1,lotid_1234,CellID_1_0
20221026,172014,928,1,lotid_1234,CellID_1_0
20221026,172348,652,1,lotid_1234,CellID_1_0
20221026,172548,735,1,lotid_1234,CellID_1_0
20221026,172644,888,1,lotid_1234,CellID_1_0
20221026,173208,018,1,lotid_1234,CellID_1_0
20221026,173343,958,1,lotid_1234,CellID_1_0
20221026,173717,749,1,lotid_1234,CellID_1_0
20221026,173810,691,1,lotid_1234,CellID_1_0
20221026,174653,840,1,lotid_1234,CellID_1_0
